Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
Central,12,12,3,3428,125642,97904187,568.3333333,696.6666667,878.3333333,1188.333333,1440,0.001283316
Downtown,3,3,8,3238,47865,33099791,766.6666667,943.3333333,1186.666667,1606.666667,1946.666667,0.001446082
East,0,0,0,158,21696,68301569,720,880,1110,1500,1820,0.00031765
East Central,0,0,2,920,34231,21894229,640,785,990,1340,1625,0.001563471
North,6,6,1,1849,64371,45094438,645,795,1000,1355,1640,0.001427471
North Central,2,2,2,2083,60201,48777101,685,840,1055,1425,1730,0.001234206
Northeast,0,0,0,1313,64337,62736591,620,755,950,1290,1560,0.00102551
Northwest,0,0,1,1167,66625,85105018,736.6666667,900,1133.333333,1536.666667,1860,0.000782856
South Central,2,2,1,1540,42117,22831865,670,820,1030,1390,1690,0.001844659
Southeast,0,0,1,699,57628,117026493,710,875,1100,1490,1805,0.000492436
Southwest,0,0,4,3795,188647,260058529,722.8571429,887.1428571,1117.142857,1511.428571,1831.428571,0.000725402
West,0,0,0,358,22015,80693433,880,1085,1360,1840,2230,0.000272823
West Central,2,2,1,533,24614,22804475,710,870,1090,1480,1790,0.00107935
