ZipCode,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4
21201,3,3,1,136,16972,3340677,700,840,1040,1330,1460
21202,1,1,0,201,22832,4442355,650,780,970,1240,1360
21203,0,0,0,0,0,0,670,800,990,1270,1390
21205,0,0,0,27,16146,5304530,590,700,870,1110,1220
21206,0,0,0,29,50846,18671099,670,800,990,1270,1390
21209,1,1,0,8,26465,18456397,790,950,1180,1510,1660
21210,0,0,1,23,14292,8584685,810,970,1210,1550,1700
21211,0,0,1,40,17351,7244226,660,790,980,1250,1380
21212,0,0,1,28,32322,12140257,670,810,1000,1280,1410
21213,0,0,2,31,32733,8835156,670,810,1000,1280,1410
21214,0,0,1,17,20564,7394837,630,760,940,1200,1320
21215,1,1,1,54,60161,17656169,640,770,950,1220,1330
21216,0,0,2,10,32071,8780030,660,790,980,1250,1380
21217,0,0,1,32,37111,6191150,610,730,910,1160,1280
21218,1,1,2,69,49796,11152441,660,790,980,1250,1380
21223,1,1,0,55,26366,6865527,590,710,880,1130,1240
21224,1,1,3,198,49134,33420459,790,950,1180,1510,1660
21229,1,1,1,13,45213,15237358,650,770,960,1230,1350
21230,1,1,2,156,33568,21661917,860,1030,1280,1640,1800
21231,0,0,1,126,15748,2643694,830,990,1230,1570,1730
21233,0,0,0,0,0,0,0,0,0,0,0
21235,0,0,0,0,0,0,0,0,0,0,0
21239,1,1,0,3,28793,8377373,720,860,1070,1370,1500
21240,0,0,0,0,0,12554538,970,1160,1440,1840,2020
21241,0,0,0,0,0,0,0,0,0,0,0
21250,0,0,0,0,3205,634718,0,0,0,0,0
21251,0,0,0,2,934,461424,0,0,0,0,0
21263,0,0,0,0,0,0,0,0,0,0,0
21264,0,0,0,0,0,0,0,0,0,0,0
21270,0,0,0,0,0,0,0,0,0,0,0
21273,0,0,0,0,0,0,0,0,0,0,0
21275,0,0,0,0,0,0,0,0,0,0,0
21278,0,0,0,0,0,0,0,0,0,0,0
21279,0,0,0,0,0,0,0,0,0,0,0
21280,0,0,0,0,0,0,0,0,0,0,0
21281,0,0,0,0,0,0,0,0,0,0,0
21287,1,1,0,1,0,0,0,0,0,0,0
21288,0,0,0,0,0,0,0,0,0,0,0
21289,0,0,0,0,0,0,0,0,0,0,0
21290,0,0,0,0,0,0,0,0,0,0,0
21297,0,0,0,0,0,0,0,0,0,0,0
21298,0,0,0,0,0,0,0,0,0,0,0
