zip code,population,latitude.x,longitude.x,latitude.y,longitude.y,city,state,county
90001,57110,33.9740268,-118.2495088,33.973951,-118.248405,Los Angeles,CA,Los Angeles
90002,51223,33.9490988,-118.2467371,33.950514,-118.245855,Los Angeles,CA,Los Angeles
90003,66266,33.9641307,-118.2727831,33.949164,-118.273156,Los Angeles,CA,Los Angeles
90004,62180,34.0761981,-118.3107225,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90005,37681,34.0591634,-118.3068924,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90006,59185,34.0480415,-118.294177,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90007,40920,34.0281328,-118.2848281,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90008,32327,34.0095516,-118.346724,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90010,3800,34.0621476,-118.3158894,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90011,103892,34.00709,-118.2586805,33.989264,-118.250056,Los Angeles,CA,Los Angeles
90012,31103,34.0658747,-118.238728,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90013,11772,34.0454055,-118.2404535,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90014,7005,34.0431457,-118.2517464,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90015,18986,34.039378,-118.2662989,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90016,47596,34.0283315,-118.3543375,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90017,23768,34.0529134,-118.2643397,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90018,49310,34.028887,-118.3171834,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90019,64458,34.0498412,-118.3384601,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90020,38967,34.0663795,-118.30987,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90021,3951,34.029036,-118.2378702,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90022,67179,34.0237282,-118.1562745,33.896564,-118.176502,Los Angeles,CA,Los Angeles
90023,45903,34.0225015,-118.1996129,34.008262,-118.196055,Los Angeles,CA,Los Angeles
90024,47452,34.0657287,-118.4349993,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90025,42147,34.0453599,-118.4458182,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90026,67869,34.0800169,-118.2626427,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90027,45151,34.1271942,-118.2956469,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90028,28714,34.0999122,-118.3269118,34.014613,-118.225606,Los Angeles,CA,Los Angeles
90029,38617,34.0898482,-118.2946605,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90031,39316,34.0858071,-118.2066167,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90032,45786,34.078195,-118.1854971,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90033,48852,34.0503802,-118.2119912,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90034,57964,34.0305777,-118.3996127,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90035,28418,34.0518085,-118.3836742,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90036,36865,34.0704102,-118.3504105,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90037,62276,34.0027226,-118.2874866,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90038,28917,34.0884745,-118.3255265,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90039,28514,34.1115246,-118.2605522,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90040,12520,33.9945237,-118.1499526,33.990863,-118.153153,Los Angeles,CA,Los Angeles
90041,27425,34.1374122,-118.2076072,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90042,62430,34.1147083,-118.1920977,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90043,44789,33.9885046,-118.3363581,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90044,89779,33.9527244,-118.2919039,33.938108,-118.285706,Los Angeles,CA,Los Angeles
90045,39480,33.942108,-118.417488,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90046,48581,34.1084546,-118.3620809,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90047,48606,33.9536168,-118.3084285,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90048,21397,34.0729242,-118.3727104,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90049,35482,34.0918293,-118.4912444,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90056,7827,33.9880465,-118.3703611,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90057,44998,34.0617348,-118.2767572,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90058,3223,34.0028436,-118.2163997,33.999433,-118.213255,Los Angeles,CA,Los Angeles
90059,40952,33.9262616,-118.2498834,33.921065,-118.244955,Los Angeles,CA,Los Angeles
90061,26872,33.9212798,-118.2741865,33.920965,-118.275356,Los Angeles,CA,Los Angeles
90062,32821,34.0036377,-118.3088063,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90063,55758,34.0451053,-118.1859144,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90064,25403,34.0372515,-118.4235729,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90065,45527,34.1122718,-118.225496,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90066,55277,34.0020279,-118.4306565,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90067,2424,34.0575974,-118.4139978,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90068,22286,34.1297719,-118.3309888,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90071,15,34.0528758,-118.2549427,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90073,539,34.0545327,-118.45703,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90077,9377,34.1085369,-118.4570806,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90079,0,34.040587,-118.2554035,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90089,3217,34.0202212,-118.2860354,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90094,5464,33.9754159,-118.4169886,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90095,3,34.0713118,-118.4435452,33.786594,-118.298662,Los Angeles,CA,Los Angeles
