Library Name,ZIP
ANZA,94121
BAYVIEW / LINDA BROOKS-BURTON ,94124
BERNAL HEIGHTS ,94110
CHINATOWN / HIM MARK LAI ,94108
EUREKA VALLEY / HARVEY MILK MEMORIAL ,94114
EXCELSIOR ,94112
GLEN PARK ,94131
GOLDEN GATE VALLEY ,94123
INGLESIDE ,94112
MAIN LIBRARY ,94102
MARINA ,94123
MERCED ,94132
MISSION ,94110
MISSION BAY ,94158
NOE VALLEY/SALLY BRUNN ,94114
NORTH BEACH ,94133
OCEAN VIEW ,94132
ORTEGA ,94122
PARK ,94117
PARKSIDE ,94116
PORTOLA ,94134
POTRERO ,94107
PRESIDIO ,94115
RICHMOND/SEN. MILTON MARKS,94118
SUNSET,94122
VISITACION VALLEY ,94134
WEST PORTAL,94127
WESTERN ADDITION,94115
