Industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Nat. Resources & Mining & Construction,35600,36100,34100,34500,30900,27600,25000,23500,22800,22600,24800,24700,26000,27950,29450,33400,36500,39100,37850,31400,28900,28800,29500
Manufacturing,20600,19900,18800,17600,16800,16300,16000,15800,15700,15900,16400,16400,15200,15000,15400,15200,15300,15250,14850,13650,13000,13300,13300
Wholesale Trade,17700,17500,17200,16900,16400,16200,15900,15700,15900,15800,16200,16450,16400,16700,17050,17600,18050,18600,18750,17850,17600,17500,17700
Retail Trade,67400,67500,67800,67400,67400,68700,67700,66400,64500,64900,66400,66100,64000,64350,66950,69250,70050,70350,69800,66450,66000,67000,68600
Utilities,2700,2700,2900,3000,3000,3000,2900,2900,2800,2700,2700,2700,2700,2700,2750,2900,2950,3050,3100,3200,3200,3300,3500
Transportation & Warehousing ,25800,26700,26900,26300,25900,25400,24900,25300,24900,24700,25500,25700,23650,24100,25500,27950,30000,29900,26400,23550,23300,23700,24800
Information,9800,9800,10300,10000,10400,10400,10700,11100,11500,11600,12300,11850,11450,10450,10800,10800,10700,10600,10050,9100,9800,8500,8300
Finance & Insurance,18200,18800,18900,19700,19500,18800,18300,17900,18000,17500,16100,15850,15800,16100,16450,16500,16850,16950,16700,16250,15600,15400,15500
Real Estate & Rental & Leasing,13300,12800,12300,12600,12400,12100,12300,12300,12100,12000,12500,12200,11900,12300,12400,12800,13100,13100,12700,11450,11300,11400,11500
"Professional, Scientific & Tech. Svcs.",21600,22600,22500,22300,21900,20700,20200,19700,19000,18900,20000,21150,21650,22350,22750,23250,24150,24600,25100,24550,24100,24300,24300
Management of Companies & Enterprises,4800,4700,5000,5200,5400,5700,5700,5900,6300,6100,5700,6150,6550,6800,7000,7350,7550,7600,7400,7000,6700,7100,7400
Admin & Support & Waste & Mgmt & Remed Sves,23600,23600,24100,24300,25400,27300,29600,30700,31100,32900,35700,36700,39050,40500,41000,43650,45050,44150,43000,39900,40700,43800,44700
Education Services,8900,9300,9600,9800,9700,9800,10100,10500,10700,10900,11200,11650,12150,12650,13000,13600,13900,14400,14700,14600,14400,14500,14800
Health Care & Social Assistance,37900,40500,41400,41800,42600,42700,43200,45100,46800,47700,48700,50100,51150,52700,54650,56300,57250,58600,59450,60000,60900,61400,61900
"Arts, Entertainment, & Recreation",9300,9600,10300,10300,10600,10600,10100,10200,10300,10400,10800,11100,10900,11100,11400,11550,11650,12050,11600,10700,10300,10500,11200
Accommodation,38800,40600,41000,37900,37900,37600,38300,38100,37700,37400,38300,37900,36150,36750,37800,38750,39150,39250,37800,34850,34500,35800,37600
Food Services and Drinking Places,47300,47200,47400,46100,46300,47100,47400,47200,47700,48600,50500,50200,50350,51850,54600,56050,57350,58700,57700,55350,55500,56800,58300
Other Services,19800,20500,21400,21700,21800,21700,21800,21700,21700,21800,22900,23550,23700,24200,24450,25200,26100,26600,27200,26000,25900,25900,26400
Federal Government,34200,33900,33300,31800,31300,31100,31100,30700,30400,30300,31000,30100,30650,31650,31450,31300,31850,31750,32200,33300,34800,34900,34900
State Government,57100,60300,62600,64200,65000,63900,62800,64300,64900,65800,66900,67300,70150,70550,71500,71150,71950,72400,74300,73700,71700,71700,72900
Local Government,14400,14800,15300,15500,15600,16400,16600,16800,16900,16700,16700,17100,17150,16950,17100,17200,17450,17950,18550,18650,18700,18500,18500
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
