City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
Chicago, Edgewater,8,1,1,1862,42752,3899123,1360,1540,1820,2320,2700,0.010964517
Chicago, Edison Park,10,0,1,978,28641,9635928,1620,1840,2180,2780,3240,0.002972314
Chicago, Middle Edgebrook,24,0,3,2786,81270,24209599,1500,1700,2020,2570,3010,0.003356933
Chicago, Old Irving Park,7,0,1,2468,71663,10468217,1420,1620,1920,2440,2860,0.006845769
Chicago, Peterson Park,6,1,1,2683,38104,5253542,1540,1760,2080,2660,3100,0.007253011
Chicago, West Ridge,8,1,1,904,45274,5847014,1540,1760,2080,2660,3100,0.007743098
Chicago,Alta Vista Terrace,9,2,1,2791,48281,6748617,1780,2020,2400,3060,3560,0.007154207
Chicago,Belmont Gardens,11,2,2,3367,90407,12631958,1480,1680,2000,2540,2980,0.007157006
Chicago,Belmont Harbor,10,2,2,4361,65996,7914162,1880,2120,2520,3220,3740,0.008338975
Chicago,Bucktown,20,1,1,4877,66617,8944390,2020,2300,2720,3460,4040,0.007447909
Chicago,Cathedral District,9,0,1,4287,28718,3637982,2280,2600,3080,3920,4580,0.007893937
Chicago,Central Station,6,0,1,2021,24668,5256796,2280,2600,3080,3920,4580,0.004692592
Chicago,Gold Coast,6,2,1,2921,37726,4176317,2020,2300,2720,3460,4040,0.009033318
Chicago,Lincoln Square,13,4,2,3257,78651,10122969,1520,1720,2040,2600,3040,0.007769559
Chicago,Loop,25,3,3,14072,88015,20475004,2142.857143,2442.857143,2891.428571,3680,4300,0.004298656
Chicago,Near North Side,1,0,0,4096,33355,6067125,2020,2300,2730,3480,4060,0.005497662
Chicago,Near West Side,37,14,4,7683,124003,27383756,1713.333333,1946.666667,2306.666667,2940,3426.666667,0.004528342
Chicago,Noble Square,13,6,1,4334,52548,6389531,1800,2040,2420,3080,3600,0.008224078
Chicago,North Center,17,1,1,3898,92084,13107751,1580,1800,2140,2720,3180,0.007025156
Chicago,Portage Park,4,1,3,2645,74298,18446105,1500,1700,2020,2580,3000,0.004027842
Chicago,Schorsch Forest View,3,0,1,535,27613,8465988,1620,1840,2180,2780,3240,0.003261639
Chicago,Uptown,13,5,1,3308,65790,6887350,1360,1560,1840,2340,2740,0.009552295
Chicago,West Town,19,6,3,4470,87291,10511986,1580,1780,2120,2700,3160,0.008303949
