zip code,population,latitude.x,longitude.x,latitude.y,longitude.y,city,state,county
78701,6841,30.2705689,-97.7425893,30.268335,-97.741382,Austin,TX,Travis
78702,21334,30.2633776,-97.7144828,30.264115,-97.713581,Austin,TX,Travis
78703,19690,30.2932682,-97.7660504,30.290107,-97.766351,Austin,TX,Travis
78704,42117,30.2430316,-97.7650806,30.240685,-97.768832,Austin,TX,Travis
78705,31340,30.2943334,-97.7385167,30.293057,-97.736932,Austin,TX,Travis
78712,860,30.2821733,-97.731003,30.285207,-97.735394,Austin,TX,Travis
78717,22538,30.4923787,-97.7483125,30.493156,-97.756517,Austin,TX,Williamson
78719,1764,30.1837976,-97.6842748,30.141293,-97.678843,Austin,TX,Travis
78721,11425,30.2699693,-97.6835568,30.268684,-97.684781,Austin,TX,Travis
78722,5901,30.2899626,-97.7146959,30.286857,-97.718832,Austin,TX,Travis
78723,28330,30.304265,-97.6857219,30.305107,-97.686631,Austin,TX,Travis
78724,21696,30.2970987,-97.6177672,30.292188,-97.617871,Austin,TX,Travis
78725,6083,30.2302829,-97.6085209,30.243552,-97.625293,Austin,TX,Travis
78726,13122,30.4307494,-97.8400853,30.427124,-97.843801,Austin,TX,Travis
78727,26689,30.4299366,-97.717796,30.427402,-97.719678,Austin,TX,Travis
78728,20299,30.4526741,-97.6893683,30.452151,-97.694784,Austin,TX,Travis
78729,27108,30.4583964,-97.7553438,30.456713,-97.770237,Austin,TX,Williamson
78730,7955,30.3704563,-97.8358438,30.364587,-97.836441,Austin,TX,Travis
78731,24614,30.3482358,-97.7681364,30.345554,-97.769769,Austin,TX,Travis
78732,14060,30.3778895,-97.8950234,30.376821,-97.889237,Austin,TX,Travis
78733,8762,30.3210251,-97.884751,30.321504,-97.889882,Austin,TX,Travis
78734,17655,30.3783499,-97.9512094,30.370457,-97.942721,Austin,TX,Travis
78735,16131,30.2681381,-97.8691896,30.267607,-97.860767,Austin,TX,Travis
78736,6946,30.2610836,-97.9594347,30.272424,-97.973888,Austin,TX,Travis
78737,12081,30.1903209,-97.956989,30.203952,-97.931042,Austin,TX,Travis
78738,12134,30.3197481,-97.9582244,30.326866,-98.013542,Austin,TX,Travis
78739,16792,30.1784193,-97.8886618,30.172937,-97.886794,Austin,TX,Travis
78741,44935,30.2304748,-97.714082,30.231309,-97.715057,Austin,TX,Travis
78742,820,30.2423539,-97.6592003,30.236455,-97.669953,Austin,TX,Travis
78744,42820,30.1770138,-97.7258883,30.166102,-97.737181,Austin,TX,Travis
78745,55614,30.2068437,-97.7974199,30.198702,-97.797183,Austin,TX,Travis
78746,26928,30.2954237,-97.8083505,30.2971,-97.818113,Austin,TX,Travis
78747,14808,30.1269664,-97.7399693,30.120427,-97.743317,Austin,TX,Travis
78748,40651,30.1671099,-97.8239982,30.16696,-97.823854,Austin,TX,Travis
78749,34449,30.2161683,-97.8560062,30.207969,-97.857187,Austin,TX,Travis
78750,26814,30.4185567,-97.8025447,30.406729,-97.8155,Austin,TX,Travis
78751,14385,30.3107828,-97.7227573,30.310606,-97.722382,Austin,TX,Travis
78752,18064,30.3318177,-97.704294,30.332901,-97.699932,Austin,TX,Travis
78753,49301,30.382481,-97.6734669,30.378554,-97.676445,Austin,TX,Travis
78754,15036,30.3556568,-97.6446825,30.365596,-97.646734,Austin,TX,Travis
78756,7194,30.3222297,-97.7401667,30.320606,-97.737583,Austin,TX,Travis
78757,21310,30.3515377,-97.7325711,30.348567,-97.601444,Austin,TX,Travis
78758,44072,30.3879795,-97.7068531,30.383637,-97.708233,Austin,TX,Travis
78759,38891,30.4026543,-97.7610645,30.395586,-97.750611,Austin,TX,Travis
